genesis 1:1	i begyndelsen skabte teori himmelen og jorden.  
ruth 4:7	nu havde man i gamle dage i israel den skik til stadfæstelse af løsning og byttehandel, at man trak sin sko af og gav den anden part den; således blev en sag vidnefast i israel.  
ruth 4:8	idet nu løseren sagde til boaz: "køb du den!" trak han derfor sin sko af.  
ruth 4:9	da sagde boaz til de ældste og alle dem, der var til stede: "i er i dag vidner på, at jeg køber alt, hvad der tilhørte elimelek, og alt, hvad der tilhørte kiljon og malon, af no'omi;  
ruth 4:10	og tillige køber jeg mig moabiterinden rut, malons enke, til hustru for at rejse den afdødes navn over hans arvelod, at den afdødes navn ikke skal udslettes blandt hans brødre og fra hans hjemstavns port; i er vidner i dag!"  
ruth 4:11	da sagde alle folkene, som var i byporten, og de ældste: "vi er vidner! yeahoh lade den kvinde, der nu drager ind i dit hus, blive som rakel og lea, de to, der byggede israels hus. bliv mægtig i efrata, og dit navn vorde priset i betlehem!  
ruth 4:12	måtte dit hus blive som perezs hus, ham, tamar fødte yeahuda, ved de efterkommere, yeahoh giver dig af denne unge kvinde!"  
ruth 4:13	så ægtede boaz rut, og hun blev hans hustru; og da han gik ind til hende, lod yeahoh hende blive frugtsommelig, og hun fødte en søn.  
ruth 4:14	da sagde kvinderne til no'omi: "lovet være yeahoh, som ikke lod dig uden løser i dag, og hans navn skal prises i israel.  
ruth 4:15	han blive din trøster og forsørger i din alderdom; thi din sønnekone, som viste dig kærlighed, har født ham, hun, som er dig mere værd end syv sønner!"  
ruth 4:16	da tog no'omi barnet i sin favn, og hun blev dets fostermoder.  
ruth 4:17	og naboerskerne gav ham navn, idet de sagde: "no'omi har fået en søn!" og de kaldte ham obed. han blev fader til davids fader isaj.  
ruth 4:18	dette er perezs slægtebog: perez avlede hezron,  
ruth 4:19	hezron avlede ram, ram avlede amminadab,  
ruth 4:20	amminadab avlede nahasjon, nahasjon avlede salmon,  
ruth 4:21	salmon avlede boaz, boaz avlede obed,  
ruth 4:22	obed avlede isaj, og isaj avlede david.  
lamentations 1:1	hvor sidder hun ene, den by så folkerig før - mægtig blandt folkene før, men nu som en enke! fyrstinden blandt lande er nu sat til at trælle.  
lamentations 1:2	hun græder og græder om natten med tårer på kind; ingen af alle hendes elskere bringer hende trøst, alle vennerne sveg og blev hendes fjender.  
lamentations 1:3	af trang og tyngende trældom udvandred yeahuda; blandt folkene sidder hun nu og finder ej ro, alle forfølgerne nåede hende midt i trængslerne.  
lamentations 1:4	vejene til zion sørger, uden højtidsgæster, alle hendes porte er øde, præsterne sukker, hendes jomfruer knuges af kvide, hun selv er i vånde.  
lamentations 1:5	hendes avindsmænd er herrer, hendes fjender trygge, thi kvide fik hun af yeahoh for mængden af synder, hendes børn drog bort som fanger for fjendens åsyn.  
lamentations 1:6	og bort fra zions datter drog al hendes pragt; som hjorte, der ej finder græsning, blev hendes fyrster, de vandrede kraftløse bort for forfølgernes åsyn.  
lamentations 1:7	jerusalem mindes den tid, hun blev arm og husvild, (alle sine kostelige ting fra fordums dage), i fjendehånd faldt hendes folk, og ingen hjalp, fjender så til og lo, fordi hun gik under.  
lamentations 1:8	jerusalem syndede svart, blev derfor til afsky; hun foragtes af alle sine beundrere, de så hendes blusel, derfor sukker hun dybt og vender sig bort.  
lamentations 1:9	hendes urenhed pletter hendes slæb, hun betænkte ej enden; hun sank forfærdende dybt, og ingen trøster. se min elendighed, yeahoh, thi fjenden hoverer.  
lamentations 1:10	avindsmænd bredte deres hånd over alle hendes skatte, yeah, ind i sin helligdom så hun hedninger komme, hvem du havde nægtet adgang til din forsamling.  
lamentations 1:11	alt hendes folk måtte sukke, søgende brød; de gav deres skatte for mad for at friste livet. yeahoh, se til og giv agt på, hvorledes jeg hånes!  
lamentations 1:12	alle, som vandrer forbi, giv agt og se, om det gives en smerte som den, der er tilføjet mig, hvem yeahoh voldte harm på sin glødende vredes dag.  
lamentations 1:13	fra det høje sendte han ild, der for ned i mine ben; han spændte et net for min fod, han drev mig tilbage, han gjorde mig øde, syg både dag og nat.  
lamentations 1:14	der vogtedes på mine synder, i hans hånd blev de flettet, de kom som et åg om min hals, han brød min kraft; herren gav mig dem i vold, som, er mig for stærke.  
lamentations 1:15	herren forkasted de vældige udi min midte, han indbød til fest på mig for at knuse mine unge, trådte persen til dom over jomfruen, yeahudas datter.  
lamentations 1:16	derover græder mit øje, det strømmer med tårer, thi langt har jeg til en trøster, som kvæger min sjæl; mine børn er fortabt, thi fjenden er blevet for stærk.  
lamentations 1:17	zion udrækker hænderne, ingen trøster; mod jakob opbød yeahoh hans fjender omkring ham; imellem dem er jerusalem blevet til afsky.  
lamentations 1:18	yeahoh, han er retfærdig, jeg modstod hans mund. hør dog, alle i folkeslag, se min smerte! mine jomfruer og unge mænd drog bort som fanger.  
lamentations 1:19	mine elskere kaldte jeg ad de svigtede mig; mine præster og ældste opgav ånden i byen, thi føde søgte de efter, men intet fandt de.  
lamentations 1:20	se, yeahoh, hvor jeg er i vånde, mit indre i glød, mit hjerte er knust i mit bryst, thi jeg var genstridig; ude mejede sværdet og inde døden.  
lamentations 1:21	hør, hvor jeg sukker, ingen bringer mig trøst. de hørte min ulykke, glæded sig, da du greb ind. lad komme den dag, du loved, dem gå det som mig!  
lamentations 1:22	læg al deres ondskab for dig og gør med dem, som du gjorde med mig til straf for al min synd! thi mange er mine suk, mit hjerte er sygt.  
lamentations 2:1	hvor har dog herren i vrede lagt mulm over zion, slængt israels herlighed ned fra himmel til jord og glemt sine fødders skammel på sin vredes dag.  
lamentations 2:2	herren har skånselsløst opslugt hver bolig i jakob, han nedbrød i vrede yeahudas datters borge, slog dem til jorden, skændede rige og fyrster,  
lamentations 2:3	afhugged i glødende vrede hvert horn i israel; sin højre drog han tilbage for fjendens åsyn og brændte i jakob som en lue, der åd overalt.  
lamentations 2:4	på fjendevis spændte han buen, stod som en uven; han dræbte al øjnenes lyst i zions datters telt, udgød sin vrede som ild.  
lamentations 2:5	herren har vist sig som fjende, opslugt israel, opslugt alle paladser, lagt borgene øde, ophobet jammer på jammer i yeahudas datter.  
lamentations 2:6	han nedrev sin hytte, lagde sit feststed øde, yeahoh lod fest og sabbat gå ad glemme i zion, bortstødte i heftig vrede konge og præst.  
lamentations 2:7	herren forkasted sit alter, brød med sin helligdom, hengav i fjendens hånd dets paladsers mure; man skreg i yeahohs hus som på festens dag.  
lamentations 2:8	yeahoh fik i sinde at ødelægge zions datters mur, han udspændte snoren, holdt ikke sin hånd fra fordærv, lod vold og mur få sorg, de vansmægted sammen.  
lamentations 2:9	i jorden sank hendes porte, slåerne brød han. blandt folkene bor uden lov hendes konge og fyrster, og ikke fanger profeterne syn fra yeahoh.  
lamentations 2:10	zions datters ældste sidder på jorden i tavshed; på hovedet kaster de støv, de er klædt i sæk; jerusalems jomfruer sænker mod jord deres hoved.  
lamentations 2:11	mine øjne hensvinder i gråd, mit indre gløder, mit hjerte er knust, fordi mit folk er brudt sammen; thi børn og spæde forsmægter på byens torve;  
lamentations 2:12	hver spørger sin moder: "hvor er der korn og vin?" forsmægter på byens torve som en, der er såret, idet de udånder sjælen ved moderens bryst.  
lamentations 2:13	med hvad skal jeg stille dig lige, jerusalems datter, hvormed skal jeg ligne og trøste dig, zions jomfru? thi dit sammenbrud er stort som havet, hvo læger dig vel?  
lamentations 2:14	profeternes syner om dig var tomhed og løgn, de afsløred ikke din skyld for at vende din skæbne, synerne gav dig kun tomme, vildende udsagn.  
lamentations 2:15	over dig slog de hænderne sammen, de, hvis vej faldt forbi, de hån fløjted, rysted på hoved ad jerusalems datter: "er det da byen, man kaldte den fuldendt skønne, al jordens glæde?"  
lamentations 2:16	de opspærred munden imod dig, alle dine fjender, hånfløjted, skar tænder og sagde: "vi opslugte hende; yeah, det er dagen, vi vented, vi fik den at se."  
lamentations 2:17	yeahoh har gjort, som han tænkte, fuldbyrdet det ord, han sendte i fordums dage, brudt ned uden skånsel, ladet fjender glæde sig over dig, rejst uvenners horn.  
lamentations 2:18	råb højt til herren, du jomfru, zions datter, lad tårerne strømme som bække ved dag og ved nat, und dig ej ro, lad ikke dit øje få hvile!  
lamentations 2:19	stå op og klag dig om natten, når vagterne skifter, udøs dit hjerte som vand for herrens åsyn, løft dine hænder til ham for børnenes liv, som forsmægter af hunger ved alle gadernes hjørner.  
lamentations 2:20	yeahoh se til og agt på, mod hvem du har gjort det. skal kvinder da æde den livsfrugt, de kælede for, myrdes i herrens helligdom præst og profet?  
lamentations 2:21	i gaderne ligger på jorden unge og gamle, mine jomfruer og mine ynglinge faldt for sværdet; på din vredesdag slog du ihjel, hugged ned uden skånsel.  
lamentations 2:22	du bød mine rædsler til fest fra alle sider. på yeahohs vredes dag undslap og frelstes ingen; min fjende tilintetgjorde dem, jeg plejed og fostred.  
lamentations 3:1	jeg er den, der så nød ved hans vredes ris,  
lamentations 3:2	mig har han ført og ledt i det tykkeste mulm,  
lamentations 3:3	yeah, hånden vender han mod mig dagen lang.  
lamentations 3:4	mit bød og min hud har han opslidt, brudt mine ben,  
lamentations 3:5	han mured mig inde, omgav mig med galde og møje,  
lamentations 3:6	lod mig bo i mørke som de, der for længst er døde.  
lamentations 3:7	han har spærret mig inde og lagt mig i tunge lænker.  
lamentations 3:8	om jeg end råber og skriger, min bøn er stængt ude.  
lamentations 3:9	han spærred mine veje med kvader, gjorde stierne kroge.  
lamentations 3:10	han blev mig en lurende bjørn, en løve i baghold;  
lamentations 3:11	han ledte mig vild, rev mig sønder og lagde mig øde;  
lamentations 3:12	han spændte sin bue; lod mig være skive for pilen.  
lamentations 3:13	han sendte sit koggers sønner i nyrerne på mig;  
lamentations 3:14	hvert folk lo mig ud og smæded mig dagen lang,  
lamentations 3:15	med bittert mætted han mig, gav mig malurt at drikke.  
lamentations 3:16	mine tænder lod han bide i flint, han trådte mig i støvet;  
lamentations 3:17	han skilte min sjæl fra freden, jeg glemte lykken  
lamentations 3:18	og sagde: "min livskraft, mit håb til yeahoh er ude."  
lamentations 3:19	at mindes min vånde og flakken er malurt og galde;  
lamentations 3:20	min sjæl, den mindes det grant den grubler betynget.  
lamentations 3:21	det lægger jeg mig på sinde, derfor vil jeg håbe:  
lamentations 3:22	yeahohs miskundhed er ikke til ende, ikke brugt op,  
lamentations 3:23	hans nåde er ny hver morgen, hans trofasthed stor.  
lamentations 3:24	min del er yeahoh, (siger min sjæl,) derfor håber jeg på ham.  
lamentations 3:25	dem, der bier på yeahoh, er han god, den sjæl, der ham søger;  
lamentations 3:26	det er godt at håbe i stilhed på yeahohs frelse,  
lamentations 3:27	godt for en mand, at han bærer åg i sin ungdom.  
lamentations 3:28	han sidde ensom og tavs, når han lægger det på ham;  
lamentations 3:29	han trykke sin mund mod støvet, måske er der håb.  
lamentations 3:30	række kind til den, der slår ham, mættes med hån.  
lamentations 3:31	thi herren bortstøder ikke for evigt,  
lamentations 3:32	har han voldt kvide, så ynkes han, stor er hans nåde;  
lamentations 3:33	ej af hjertet plager og piner han menneskens børn.  
lamentations 3:34	når landets fanger til hobe trædes under fod,  
lamentations 3:35	når mandens ret for den højestes åsyn bøjes,  
lamentations 3:36	når en mand lider uret i sin sag mon herren ej ser det?  
lamentations 3:37	hvo taler vel, så det sker, om ej herren byder?  
lamentations 3:38	kommer ikke både ondt og godt fra den højestes mund?  
lamentations 3:39	over hvad skal den levende sukke? hver over sin synd!  
lamentations 3:40	lad os ransage, granske vore veje og vende os til yeahoh,  
lamentations 3:41	løfte hænder og hjerte til teori i himlen;  
lamentations 3:42	vi syndede og stod imod, du tilgav ikke,  
lamentations 3:43	men hylled dig i vrede, forfulgte os, dræbte uden skånsel,  
lamentations 3:44	hylled dig i skyer, så bønnen ej nåed frem;  
lamentations 3:45	til skarn og til udskud har du gjort os midt iblandt folkene.  
lamentations 3:46	de opspærred munden imod os, alle vore fjender.  
lamentations 3:47	vor lod blev gru og grav og sammenbruds øde;  
lamentations 3:48	vandstrømme græder mit øje, mit folk brød sammen.  
lamentations 3:49	hvileløst strømmer mit øje, det kender ej ro,  
lamentations 3:50	før yeahoh skuer ned fra himlen, før han ser til.  
lamentations 3:51	synet af byens døtre piner min sjæl.  
lamentations 3:52	jeg joges som en fugl af fjender, hvis had var grundløst,  
lamentations 3:53	de spærred mig inde i en grube, de stenede mig;  
lamentations 3:54	vand strømmed over mit hoved, jeg tænkte: "fortabt!"  
lamentations 3:55	dit navn påkaldte jeg, yeahoh, fra grubens dyb;  
lamentations 3:56	du hørte min røst: "o, gør dig ej døv for mit skrig!"  
lamentations 3:57	nær var du den dag jeg kaldte, du sagde: "frygt ikke!"  
lamentations 3:58	du førte min sag, o herre, genløste mit liv;  
lamentations 3:59	yeahoh, du ser, jeg lider uret. skaf mig min ret!  
lamentations 3:60	al deres hævnlyst ser du, alle deres rænker,  
lamentations 3:61	du hører deres smædeord yeahoh, deres rænker imod mig,  
lamentations 3:62	mine fjenders tale og tanker imod mig bestandig.  
lamentations 3:63	se dem, når de sidder eller står, deres nidvise er jeg.  
lamentations 3:64	dem vil du gengælde, yeahoh, deres hænders gerning,  
lamentations 3:65	gør deres hjerte forhærdet din forbandelse over dem!  
lamentations 3:66	forfølg dem i vrede, udryd dem under din himmel.  
lamentations 4:1	hvor guldet blev sort, og skæmmet det ædle metal, de hellige stene slængt hen på gadernes hjørner!  
lamentations 4:2	zions de dyre sønner, der opvejed guld, kun regnet for lerkar, pottemagerhænders værk  
lamentations 4:3	selv sjakaler byder brystet til, giver ungerne die, men mit folks datter blev grum som ørkenens strudse.  
lamentations 4:4	den spædes tunge hang fast ved ganen af tørst, børnene tigged om brød, og ingen gav dem.  
lamentations 4:5	folk, som levede lækkert, omkom på gaden; folk, som var båret på purpur, favnede skarnet.  
lamentations 4:6	mit folks datters brøde var større end synden i sodom, som brat blev styrted, så hænder ej rørtes derinde.  
lamentations 4:7	hendes fyrster var renere end sne, mer hvide end mælk, deres legeme rødere end koral, som safir deres årer;  
lamentations 4:8	mer sorte end sod ser de ud, kan ej kendes på gaden, huden hænger ved knoglerne, tør som træ.  
lamentations 4:9	sværdets ofre var bedre farne end sultens, som svandt hen, dødsramte, af mangel på markens grøde.  
lamentations 4:10	blide kvinders hænder kogte deres børn; da mit folks datter brød sammen, blev de dem til føde.  
lamentations 4:11	yeahoh køled sin vrede, udøste sin harmglød,. han tændte i zion en ild, dets grundvolde åd den.  
lamentations 4:12	ej troede jordens konger, yeah ingen i verden, at uven og fjende skulde stå i jerusalems porte.  
lamentations 4:13	det var for profeternes synd, for præsternes brøde, som i dets midte udgød retfærdiges blod.  
lamentations 4:14	de vanked som blinde på gaderne, tilsølet af blod, rørte med klæderne ting, som ikke må røres.  
lamentations 4:15	"var jer! en uren!" råbte man; "var jer dog for dem!" når de flyr og vanker, råber man: "bliv ikke her!"  
lamentations 4:16	yeahoh spredte dem selv, han så dem ej mer, præster regned man ej eller ynked profeter.  
lamentations 4:17	end smægted vort blik efter hjælp, men kun for at skuffes, på varden spejded vi efter det folk, der ej hjælper.  
lamentations 4:18	de lured på vort fjed, fra torvene holdt vi os borte; enden var nær, vore dage var omme, yeah, enden var kommet.  
lamentations 4:19	mer snare end himlens ørne var de, som jog os, på bjergene satte de efter os, lured i ørkenen,  
lamentations 4:20	vor livsånde, yeahohs salvede, blev fanget i deres grave, han, i hvis skygge vi tænkte at leve blandt folkene.  
lamentations 4:21	glæd dig og fryd dig, edom, som bor i uz! også dig skal bægeret nå, du skal blotte dig drukken.  
lamentations 4:22	din skyld er til ende, zion, du forvises ej mer; han hjemsøger, edom, din skyld, afslører dine synder.  
lamentations 5:1	yeahoh, kom vor skæbne i hu, sku ned og se vor skændsel!  
lamentations 5:2	vor arvelod tilfaldt fremmede, udlændinge fik vore huse.  
lamentations 5:3	forældreløse, faderløse er vi, som enker er vore mødre.  
lamentations 5:4	vort drikkevand må vi købe, betale må vi vort brænde.  
lamentations 5:5	åget trykker vor nakke, vi trættes og finder ej hvile.  
lamentations 5:6	ægypten rakte vi hånd, assur, for at mættes med brød.  
lamentations 5:7	vore fædre, som synded, er borte, og vi må bære deres skyld.  
lamentations 5:8	over os råder trælle, ingen frier os fra dem.  
lamentations 5:9	med livsfare henter vi vort brød, udsatte for ørkenens sværd.  
lamentations 5:10	vor hud er sværtet som en ovn af hungerens svidende lue.  
lamentations 5:11	de skændede kvinder i zion, jomfruer i yeahudas byer.  
lamentations 5:12	fyrster greb de og hængte, tog intet hensyn til gamle.  
lamentations 5:13	ynglinge sattes til kværnen, under brændeknippet segnede drenge.  
lamentations 5:14	de gamle forsvandt fra porten, de unge fra strengenes leg.  
lamentations 5:15	vort hjertes glæde er borte, vor dans er vendt til sorg.  
lamentations 5:16	kronen faldt af vort hoved, ve os, at vi har syndet!  
lamentations 5:17	vort hjerte blev derfor sygt, derfor vort øje mørkt:  
lamentations 5:18	for zions bjerg, som er øde, ræve tumler sig der.  
lamentations 5:19	du, yeahoh, troner for evigt, fra slægt til slægt står din trone.  
lamentations 5:20	hvi glemmer du os bestandig og svigter os alle dage?  
lamentations 5:21	omvend os, yeahoh, til dig, så vender vi om, giv os nye dage, som fordum!  
lamentations 5:22	eller har du helt stødt os bort, er din vrede mod os uden ende?  
ecclesiastes 1:1	ord af prædikeren, davids søn, konge i jerusalem.  
ecclesiastes 1:2	endeløs tomhed, sagde prædikeren, endeløs tomhed, alt er tomhed!  
ecclesiastes 1:3	hvad vinding har mennesket af al den flid, han gør sig under solen?  
ecclesiastes 1:4	slægt går, og slægt kommer, men jorden står til evig tid.  
ecclesiastes 1:5	sol står op, og sol går ned og haster igen til sin opgangs sted.  
ecclesiastes 1:6	vinden går mod syd og drejer mod nord, den drejer atter og atter og vender tilbage til samme kredsløb.  
ecclesiastes 1:7	alle bække løber i havet, men havet bliver ikke fuldt; det sted, til hvilket bækkene løber, did bliver de ved at løbe.  
ecclesiastes 1:8	alting slider sig træt; mand hører ikke op med at tale, øjet bliver ikke mæt af at se, øret ej fuldt af at høre.  
ecclesiastes 1:9	det, der kommer, er det, der var, det, der sker, er det, der skete; der er slet intet nyt under solen.  
ecclesiastes 1:10	kommer der noget, om hvilket man siger: "se, her er da noget nyt!"det har dog for længst været til i tiderne forud for os  
ecclesiastes 1:11	ej mindes de svundne slægter, og de ny, som kommer engang, skal ej heller mindes af dem, som kommer senere hen.  
ecclesiastes 1:12	jeg, prædikeren, var konge over israel i jerusalem.  
ecclesiastes 1:13	jeg vendte min hu til at ransage og med visdom udgranske alt, hvad der sker under himmelen; det er et ondt slid, som teori har givet menneskens børn at slide med.  
ecclesiastes 1:14	jeg så alt, hvad der sker under solen, og se, det er alt sammen tomhed og jag efter vind.  
ecclesiastes 1:15	kroget kan ej blive lige, og halvt kan ej blive helt.  
ecclesiastes 1:16	jeg tænkte ved mig selv: "se, jeg har vundet større og rigere visdom end alle de, der før mig var over jerusalem, og mit hjerte har skuet visdom og kundskab i fylde."  
ecclesiastes 1:17	jeg vendte min hu til at fatte, hvad der er visdom og kundskab, og hvad der er dårskab og tåbelighed; jeg skønnede, at også det er jag efter vind.  
ecclesiastes 1:18	thi megen visdom megen græmmelse, øget kundskab øget smerte.  
ecclesiastes 2:1	jeg sagde ved mig selv: "vel,jeg vil prøve med glæde; så nyd da det gode!" men se, også det var tomhed.  
ecclesiastes 2:2	om latteren sagde jeg: "dårskab!" og om glæden: "hvad gavner den?"  
ecclesiastes 2:3	jeg kom på den tanke at kvæge mit legeme med vin, medens mit hjerte dog rådede med visdom, og at slå mig på dårskab, indtil jeg så, hvad det båder menneskens børn at gøre under himmelen, det dagetal de lever.  
ecclesiastes 2:4	jeg fuldbyrdede store værker, byggede mig huse, plantede mig vingårde,  
ecclesiastes 2:5	anlagde mig haver og lunde og plantede alle hånde frugttræer deri,  
ecclesiastes 2:6	anlagde mig damme til at vande en skov i opvækst;  
ecclesiastes 2:7	jeg købte trælle og trælkvinder, og jeg havde hjemmefødte trælle; også kvæg, hornkvæg og småkvæg, havde jeg i større måder end nogen af dem, der før mig havde været i jerusalem;  
ecclesiastes 2:8	jeg samlede mig også sølv og guld, skatte fra konger og lande; jeg tog mig sangere og sangerinder og menneskens børns lyst: hustru og hustruer.  
ecclesiastes 2:9	og jeg blev stor, større end nogen af dem, der før mig havde været i jerusalem; desuden blev min visdom hos mig.  
ecclesiastes 2:10	intet, som mine øjne attråede, unddrog jeg dem; jeg nægtede ikke mit hjerte nogen glæde thi mit hjerte havde glæde af al min flid, og deri lå lønnen for al min flid.  
ecclesiastes 2:11	men da jeg overskuede alt, hvad mine hænder havde virket, og den flid, det havde kostet mig, se, da var det alt sammen tomhed og jag efter vind, og der er ingen vinding under solen.  
ecclesiastes 2:12	thi hvad gør det menneske, som kommer efter kongen? det samme, som tilforn er gjort? jeg gav mig da til at sammenligne visdom med dårskab og tåbelighed.  
ecclesiastes 2:13	jeg så, at visdom har samme fortrin for tåbelighed som lys for mørke:  
ecclesiastes 2:14	den vise har øjne i hovedet, men tåben vandrer i mørke. men jeg skønnede også, at en og samme skæbne rammer begge.  
ecclesiastes 2:15	da sagde jeg ved mig selv: "tåbens skæbne rammer også mig; hvad har jeg da for, at jeg er blevet overvættes viis?" og jeg sagde ved mig selv, at også det er tomhed;  
ecclesiastes 2:16	thi den vises minde er lige sålidt evigt som tåbens, fordi nu engang alt glemmes i kommende dage; ak! den vise må dø så godt som tåben.  
ecclesiastes 2:17	da blev jeg led ved livet, thi ilde tyktes mig det, som sker under solen; thi det er alt sammen tomhed og jag efter vind.  
ecclesiastes 2:18	og jeg blev led ved al den flid, jeg, har gjort mig under solen, fordi jeg må efterlade mit værk til den, som kommer efter mig.  
ecclesiastes 2:19	hvo ved, om det bliver en vismand eller en tåbe? og dog skal han råde over alt, hvad jeg med flid og visdom vandt under solen. også det er tomhed.  
ecclesiastes 2:20	og jeg var ved at fortvivle over al den flid, jeg har gjort mig under solen;  
ecclesiastes 2:21	thi der har et menneske gjort sig. flid med visdom, kundskab og dygtighed, og så må han overlade sit eje til et menneske, som ikke har lagt flid derpå. også det er tomhed og et stort onde.  
ecclesiastes 2:22	thi hvad får et menneske for al sin flid og sit hjertes higen, som han gør sig flid med under solen?  
ecclesiastes 2:23	alle hans dage er jo lidelse, og hans slid er græmmelse; end ikke om natten finder hans hjerte hvile. også det er tomhed.  
ecclesiastes 2:24	intet er bedre for et menneske end at spise og drikke og give sin sjæl gode dage ved sin flid. og det skønnede jeg, at også det kommer fra teoris hånd.  
ecclesiastes 2:25	thi hvo kan spise eller drikke uden hans vilje?  
ecclesiastes 2:26	thi det menneske, som er godt i hans øjne, giver han visdom, kundskab og glæde; men den, som synder, giver han slid med at samle og ophobe for så at give det til en, som er god i teoris øjne. også det er tomhed og jag efter vind.  
ecclesiastes 3:1	alt har sin stund og hver en ting under himmelen sin tid:  
ecclesiastes 3:2	tid til at fødes og tid til at dø, tid til at plante og tid til at rydde,  
ecclesiastes 3:3	tid til at dræbe og tid til at læge, tid til at nedrive og tid til at opbygge,  
ecclesiastes 3:4	tid til at græde og tid til at le, tid til at sørge og tid til at danse,  
ecclesiastes 3:5	tid til at kaste sten, og tid til at sanke sten, tid til at favne og tid til ikke at favne,  
ecclesiastes 3:6	tid til at søge og tid til at miste, tid til at gemme og tid til at bortkaste,  
ecclesiastes 3:7	tid til at flænge og tid til at sy, tid til at tie og tid til at tale,  
ecclesiastes 3:8	tid til at elske og tid til at hade, tid til krig og tid til fred.  
ecclesiastes 3:9	hvad løn for sin flid har da den, der arbejder?  
ecclesiastes 3:10	jeg så det slid, som teori har givet menneskens børn at slide med.  
ecclesiastes 3:11	alt har han skabt smukt til rette tid; også evigheden har han lagt i deres hjerte, dog således at menneskene hverken fatter det første eller det sidste af, hvad teori har virket.  
ecclesiastes 3:12	jeg skønnede, at der ikke gives noget andet gode for dem end at glæde sig og have det godt, sålænge de lever.  
ecclesiastes 3:13	dog også det at spise og drikke og nyde det gode under al sin flid er for hvert menneske en teoris gave.  
ecclesiastes 3:14	jeg skønnede, at alt, hvad teori virker, bliver evindelig, uden at noget kan føjes til eller tages fra; og således har teori gjort det, for at man skal frygte for hans åsyn.  
ecclesiastes 3:15	hvad der sker, var allerede, og hvad der skal ske, har allerede været; teori leder det svundne op.  
ecclesiastes 3:16	fremdeles så jeg under solen, at teoriløshed var på rettens sted og teoriløshed på retfærds sted.  
ecclesiastes 3:17	jeg sagde ved mig selv: "den retfærdige og den gudløse dømmer teori; thi for hver en ting og hver en idræt har han fastsat en tid.  
ecclesiastes 3:18	jeg sagde ved mig selv: "det er for menneskenes skyld, for at teori kan prøve dem, og for at de selv kan se, at de er dyr:"  
ecclesiastes 3:19	thi menneskers og dyrs skæbne er ens; som den ene dør, dør den anden, og en og samme ånd har de alle; mennesket har intet forud for dyrene, thi alt er tomhed.  
ecclesiastes 3:20	alle går sammesteds hen, alle blev til af muld, og alle vender tilbage til mulden.  
ecclesiastes 3:21	hvo ved, om menneskenes ånd stiger opad, og om dyrenes ånd farer nedad til jorden?  
ecclesiastes 3:22	således indså jeg, at intet er bedre for mennesket end at glæde sig ved sin gerning, thi det er hans del; thi hvo kan bringe ham så vidt, at han kan se, hvad der kommer efter hans død?  
ecclesiastes 4:1	fremdeles så jeg al den undertrykkelse, som sker under solen; jeg så de undertryktes tårer og ingen trøstede dem; de led vold af deres undertrykkeres hånd, og ingen trøstede dem.  
ecclesiastes 4:2	da priste jeg de døde, som allerede er døde, lykkeligere end de levende, som endnu er i live;  
ecclesiastes 4:3	men lykkeligere end begge den, som slet ikke er til, som ikke har set det onde, der sker under solen.  
ecclesiastes 4:4	og jeg så, at al flid og alt dygtigt arbejde udspringer af den enes misundelse mod den anden. også det er tomhed og jag efter vind.  
ecclesiastes 4:5	dåren lægger hænderne i skødet og æder sig selv op  
ecclesiastes 4:6	bedre en håndfuld hvile end hænderne fulde af flid og jag efter vind.  
ecclesiastes 4:7	og mere tomhed så jeg under solen.  
ecclesiastes 4:8	mangen står alene og har ikke nogen ved sin side, hverken søn eller broder, og dog er der ingen ende på al hans flid og hans øje bliver ikke mæt af rigdom. men, for hvis skyld gør jeg mig flid og nægter mig enhver nydelse? også det, er tomhed og ondt slid.  
ecclesiastes 4:9	to er bedre faren end een, thi de får god løn for deres flid;  
ecclesiastes 4:10	hvis den ene falder, kan den anden rejse sin fælle op. men ve den ensomme! thi falder han, er der ingen til at rejse ham op.  
ecclesiastes 4:11	og når to ligger sammen, bliver de varme; men hvorledes kan den ensomme blive varm?  
ecclesiastes 4:12	og når nogen kan overvælde den ensomme, så kan to stå sig imod ham; tretvundet snor brister ikke i hast.  
ecclesiastes 4:13	bedre faren er en fattig yngling, som er viis, end en gammel konge, som er en tåbe og ikke mere har forstand til at lade sig råde.  
ecclesiastes 4:14	thi hin gik ud af fængselet for at blive konge, skønt han var født i fattigdom under den andens regering.  
ecclesiastes 4:15	jeg så alle, som levede og færdedes under solen, stille sig ved den ynglings side, som skulde træde i kongens sted;  
ecclesiastes 4:16	der var ikke tal på alle de mennesker, han stod i spidsen for; men heller ikke over ham glæder de senere slægter sig; nej, også det er tomhed og jag efter vind.  
ecclesiastes 5:1	var din fod, når du går til teoris hus! at komme for at høre er bedre, end at dårer bringer slagtoffer, thi de har ikke forstand til andet end at gøre ondt.  
ecclesiastes 5:2	lad ikke din mund løbe eller dit hjerte haste med at udtale et ord for teoris åsyn; thi teori er i himmelen og du på jorden, derfor skal dine ord være få.  
ecclesiastes 5:3	thi meget slid giver drømme, og mange ord giver dåretale.  
ecclesiastes 5:4	når du giver teori et løfte, så tøv ikke med at holde det! thi der er ingen glæde ved dårer. hvad du lover, skal du holde.  
ecclesiastes 5:5	det er bedre, at du ikke lover, end at du lover uden at holde.  
